"site","Bog_marsh","Brownfield","Built.up","Decidious_forest","Grassland","Grassland_agri","Heathland","Orchard","Park","Pine_forest","Plantation","Shrub","Valley_forest","Arable"
157,0,0.00530161513856814,0.00250773863281023,0.0218208593650967,0.00428833571571187,0.0185965071592184,0,0.0736612893272927,0,0,0.0140034633371211,0.00472497478897222,0,0.855095216535209
158,0,0,0.00733854363254898,0.0102679315304534,0.00144603789182392,0.00118505393800691,0,0.214004331042879,0,0,0,0,0,0.765758101964287
159,0,0,0.0420216879605047,0,0.00218533070769302,0.0499837765696673,0,0.029856000554663,0,0,0.00085465463025144,0.00099273078071907,0,0.874105818796502
160,0,0,0.0151063710225299,0.000298079998573656,0.00216084824063743,0.0684236124780898,0,0.00750316906666204,0,0,0.0301989051850818,0.00717030931849973,0.000333557861749801,0.868805146828176
161,0.0178569505960477,0,0.141722142709118,0.0143941838839807,0.0335119749651911,0.216201201029253,0,0.0601875393657361,0.00320715082111166,0,0.100927319051972,0.0691526852567082,0.00279222046211119,0.34004663185877
162,0,0.0111523371398897,0.235942195012806,0.0784581948649867,0.0128901248999511,0.232472257720385,0,0.0547311314432317,0,0,0.0203629093280685,0.00106346130218021,0,0.352927388288501
163,0,0.000509972275965761,0.00602251751970229,0.102511325968047,0.00216237122616916,0.0778665706321909,0,0.00302567752356048,0.0320696149506057,0,0.0246621229556656,0.0161319140652891,0,0.735037912882804
164,0,0.000538660538204922,0.0859797379985696,0.00762659274891637,0.00103563608012367,0.082999275834285,0,0.072856169890691,1.05557194157703e-05,0,6.18133812644797e-05,0.000143099751303803,0,0.748748458057225
165,0,0.010196146923419,0.562111128973417,0.0480869815233232,0.00393475540262833,0.11445119835695,0,0.0980744365351155,0.0188585371103972,0,0,0.00303931002220657,0,0.141247505152544
166,0,0,0.0061083993981839,0.00275241810756651,0.00345935347956974,0.0018479022654179,0,0.0679589239750054,0.000199939090995632,0,0.00190596224346866,0.00258340237396128,0,0.913183699065831
167,0,0.00359615348564088,0,0.00850838242387546,0.00238798111253243,0,0,0,0,0,0,0.00448925590695458,0,0.981018227070997
168,0,0.0583964034840129,0.0449952060702552,0.00233548388117145,0.268441677913758,0.101333204393216,0,0.321292803674183,0,0,0.0399970814829899,0.0584439430019071,0,0.104764196098507
169,0,0,0.120528793084788,0.0378742935883643,0.0313527919530592,0.238478158026261,0,0.0536978664305292,0,0,0.00247673974220057,0.003546472763425,0,0.512044884411372
170,0,0.00566159020739983,0.00465130569478488,0.0683528065314776,0.0575709495144472,0.375770427647403,0,0.103250944911224,0,0,0.0214763928959796,0.00980297092663745,0,0.353462611670646
171,0,0.00253404929092703,0,0.0117279081679094,0.0426891419170717,0.00760214787278109,0,0.000168934980488021,0,0,0,0,0,0.935277817770823
172,0,0.00178705799811149,0.0507231122882806,0.0161240048523409,0.0169134738900481,0.0502907209253655,0,0.279316619530021,0,0,0.00200003442427782,0.00043027998223388,0,0.582414696109321
173,0,0.00736668570766313,0.0678847298768352,0.0214893128517704,0.0135022666520937,0.0875620105622978,0,0.274102904871088,0,0,0,0.00521882207162571,0,0.522873267406626
